etd_id_note,etd_id_etudiant,etd_id_module,etd_id_enseignant,etd_annee_universitaire,etd_semestre,etd_type_examen,etd_note,etd_date_examen,etd_session
19804,241,38,51,2024-2025,3,TP,16.93,2024-04-06,Normale
5271,241,38,51,2024-2025,3,CC,8.98,2023-02-06,Normale
5272,242,151,12,2023-2024,1,CC,17.44,2025-03-26,Normale
19702,242,151,12,2023-2024,1,Examen Final,16.5,2022-10-26,Normale
5276,242,153,20,2023-2024,1,Examen Final,11.48,2023-04-17,Normale
5278,242,157,18,2023-2024,2,CC,7.26,2024-10-04,Rattrapage
5282,242,159,18,2023-2024,2,Examen Final,14.43,2025-09-26,Normale
5283,242,159,18,2023-2024,2,TP,18.66,2024-02-01,Normale
5284,242,155,51,2023-2024,-1,Examen Final,4.87,2023-11-22,Rattrapage
18858,242,156,38,2024-2025,1,Examen Final,8.18,2025-05-17,Rattrapage
5288,242,154,48,2022-2023,1,TP,10.58,2023-06-07,Normale
5289,242,152,34,2023-2024,1,TP,16.79,2022-12-30,Normale
17912,242,160,49,2022-2023,2,Examen Final,10.9,2023-05-28,Normale
11373,243,44,47,2024-2025,4,TP,17.33,2025-12-24,Normale
18387,243,44,47,2024-2025,4,CC,13.0,2024-09-01,Normale
5296,243,44,47,2024-2025,-4,Examen Final,18.38,2024-04-21,Normale
5298,243,47,43,2024-2025,4,CC,7.27,2022-01-04,Normale
5299,243,47,43,2024-2025,-4,Examen Final,10.44,2024-11-01,Normale
5300,243,42,15,2024-2025,3,TP,9.82,2025-05-20,Normale
8974,243,37,48,2023-2024,2,TP,9.34,2024-08-26,Normale
5304,243,37,48,2023-2024,2,CC,4.3,2023-12-21,Normale
5305,243,26,55,2024-2025,1,CC,16.83,2023-03-18,Normale
7780,243,26,55,2024-2025,1,Examen Final,9.06,2022-04-02,Normale
5307,243,36,25,2023-2024,-2,TP,5.98,2024-05-26,Normale
7219,243,36,25,2023-2024,2,Examen Final,5.23,2022-10-14,Normale
5309,243,36,25,2023-2024,2,CC,5.74,2023-08-12,Rattrapage
5311,127,102,46,2022-2023,1,TP,10.37,2022-03-30,Normale
4164,127,102,46,2022-2023,1,Examen Final,6.81,2024-04-02,Normale
9804,127,110,35,2022-2023,2,CC,8.01,2023-11-11,Rattrapage
5315,127,108,32,2023-2024,2,TP,18.31,2025-10-13,Normale
5316,127,108,32,2023-2024,-2,CC,7.87,2022-04-28,Rattrapage
5319,127,103,40,2022-2023,1,Examen Final,11.8,2024-05-22,Normale
12504,127,115,35,2023-2024,3,CC,9.84,2025-03-22,Normale
5325,127,122,42,2024-2025,-4,Examen Final,15.75,2025-12-06,Normale
5326,127,122,42,2024-2025,4,TP,9.11,2024-05-07,Normale
5328,127,113,21,2022-2023,3,Examen Final,6.37,2024-03-21,Normale
4738,127,113,21,2022-2023,3,CC,14.93,2024-04-24,Normale
5332,127,123,37,2024-2025,4,CC,15.53,2023-09-16,Normale
5334,245,176,17,2022-2023,1,CC,4.1,2025-12-22,Rattrapage
5336,245,180,39,2023-2024,1,TP,4.05,2022-09-02,Rattrapage
18344,245,181,27,2024-2025,2,TP,5.48,2024-02-19,Rattrapage
5344,245,175,21,2024-2025,-1,TP,10.0,2023-12-28,Normale
5348,245,177,21,2024-2025,1,TP,9.55,2025-04-22,Rattrapage
3065,245,183,52,2022-2023,2,CC,13.42,2024-02-09,Normale
5354,129,16,13,2023-2024,3,CC,12.61,2025-08-20,Normale
5356,129,17,46,2023-2024,3,Examen Final,4.42,2025-07-17,Normale
5358,129,17,46,2023-2024,3,TP,5.94,2024-11-15,Rattrapage
8368,129,10,17,2023-2024,2,Examen Final,14.39,2025-04-22,Normale
5361,129,2,28,2023-2024,-1,CC,4.78,2022-10-06,Normale
7852,129,2,28,2023-2024,1,TP,14.67,2024-12-16,Normale
5364,129,13,19,2022-2023,3,Examen Final,17.17,2024-10-12,Normale
5365,129,13,19,2022-2023,3,TP,16.56,2022-06-23,Normale
5370,129,12,13,2023-2024,2,TP,14.17,2025-05-02,Normale
18543,129,14,52,2022-2023,3,TP,17.85,2022-09-04,Normale
5373,129,11,41,2022-2023,-2,CC,16.75,2024-12-22,Normale
15762,129,11,41,2022-2023,2,TP,16.52,2025-06-02,Normale
12744,247,180,33,2024-2025,1,TP,6.09,2024-09-30,Normale
5379,247,184,17,2022-2023,2,Examen Final,7.46,2024-02-03,Normale
5380,247,184,17,2022-2023,2,TP,10.19,2025-03-31,Normale
5385,247,177,33,2022-2023,1,CC,13.24,2025-03-10,Normale
19439,247,183,1,2023-2024,2,Examen Final,14.03,2023-05-18,Normale
6326,247,179,42,2022-2023,1,TP,6.85,2022-04-20,Normale
16218,247,179,42,2022-2023,1,CC,6.17,2025-01-29,Rattrapage
5393,247,181,21,2023-2024,2,Examen Final,5.82,2024-04-05,Normale
5394,247,181,21,2023-2024,2,CC,13.45,2025-09-22,Normale
5397,248,119,3,2022-2023,4,TP,17.38,2025-08-12,Normale
3361,248,119,3,2022-2023,4,Examen Final,14.37,2023-10-10,Normale
5400,248,108,39,2024-2025,2,TP,8.81,2022-09-15,Normale
1822,248,108,39,2024-2025,2,Examen Final,8.83,2023-02-27,Rattrapage
12034,248,103,46,2023-2024,1,CC,9.63,2024-07-29,Normale
5405,248,103,46,2023-2024,1,TP,6.53,2024-11-21,Rattrapage
1590,248,115,19,2022-2023,3,TP,13.46,2024-02-04,Normale
17280,248,111,19,2023-2024,2,CC,17.46,2022-11-04,Normale
5414,248,111,19,2023-2024,2,TP,5.84,2022-08-07,Normale
5415,248,111,19,2023-2024,2,Examen Final,17.61,2022-05-26,Normale
5417,248,123,37,2024-2025,4,TP,13.38,2024-01-28,Normale
13732,248,123,37,2024-2025,4,CC,11.17,2023-10-20,Normale
3097,248,101,52,2022-2023,1,Examen Final,5.61,2024-10-19,Rattrapage
5420,248,101,52,2022-2023,1,CC,4.6,2023-09-06,Normale
5421,130,156,12,2023-2024,1,TP,4.05,2022-09-10,Normale
5422,130,156,12,2023-2024,1,CC,17.29,2023-12-01,Normale
5424,130,157,5,2024-2025,2,CC,8.55,2022-06-20,Rattrapage
6448,130,151,12,2023-2024,-1,TP,10.16,2022-05-08,Normale
5426,130,151,12,2023-2024,1,CC,18.69,2025-07-02,Normale
5427,130,151,12,2023-2024,1,Examen Final,18.81,2023-06-15,Normale
5428,130,152,34,2023-2024,1,Examen Final,14.59,2024-05-04,Normale
9722,130,160,49,2022-2023,2,Examen Final,12.41,2022-06-07,Normale
5695,130,154,48,2022-2023,1,TP,7.04,2022-06-02,Normale
9053,130,153,20,2023-2024,1,TP,9.41,2024-02-24,Normale
5437,130,161,14,2024-2025,2,TP,15.69,2022-01-26,Normale
5438,130,161,14,2024-2025,2,Examen Final,6.25,2025-05-08,Rattrapage
18669,130,159,43,2022-2023,2,TP,14.35,2022-07-22,Normale
5441,130,155,34,2024-2025,1,TP,15.26,2022-12-30,Normale
17237,130,155,34,2024-2025,-1,Examen Final,13.48,2022-12-15,Normale
5444,250,144,33,2022-2023,4,CC,7.46,2025-11-21,Rattrapage
5445,250,129,37,2024-2025,1,Examen Final,8.55,2024-04-24,Normale
5446,250,129,37,2024-2025,1,CC,9.14,2022-09-05,Normale
5459,250,130,21,2023-2024,1,CC,6.79,2024-09-03,Rattrapage
5460,250,130,21,2023-2024,1,Examen Final,17.34,2025-07-13,Normale
5463,251,51,31,2024-2025,1,Examen Final,15.33,2024-08-20,Normale
5468,251,55,11,2022-2023,-1,Examen Final,4.57,2022-05-30,Rattrapage
5470,251,61,48,2022-2023,2,TP,9.51,2024-06-04,Normale
5473,251,58,54,2024-2025,2,CC,16.04,2025-12-24,Normale
5476,251,59,11,2024-2025,2,Examen Final,16.72,2024-11-13,Normale
10911,251,59,11,2024-2025,2,TP,13.22,2024-02-20,Normale
5480,251,73,23,2024-2025,4,TP,18.15,2022-03-23,Normale
5482,251,69,2,2023-2024,4,TP,5.27,2025-03-31,Rattrapage
18565,251,69,2,2023-2024,4,Examen Final,7.76,2024-05-23,Normale
5485,251,68,23,2024-2025,3,Examen Final,11.48,2022-04-27,Normale
5487,251,57,36,2022-2023,2,TP,15.57,2025-02-03,Normale
5488,251,57,36,2022-2023,-2,CC,18.7,2023-09-02,Normale
5491,251,66,16,2024-2025,3,CC,15.27,2024-04-29,Normale
5492,252,200,29,2024-2025,1,TP,6.61,2025-04-08,Rattrapage
5494,252,200,29,2024-2025,1,CC,17.07,2023-01-22,Normale
5495,252,202,24,2024-2025,1,TP,8.71,2023-03-03,Rattrapage
5497,252,202,24,2024-2025,1,Examen Final,5.76,2022-02-23,Normale
5498,252,207,29,2024-2025,2,TP,5.72,2024-05-28,Normale
5501,252,199,2,2022-2023,1,CC,11.95,2022-10-19,Normale
5504,252,201,36,2022-2023,1,Examen Final,6.76,2022-10-14,Normale
5507,252,204,16,2024-2025,1,CC,5.13,2024-06-22,Normale
5515,131,156,38,2024-2025,1,CC,12.28,2024-05-15,Normale
5516,131,156,38,2024-2025,1,Examen Final,5.0,2024-12-27,Rattrapage
5521,131,161,51,2022-2023,2,TP,17.93,2022-02-12,Normale
5805,131,161,51,2022-2023,2,CC,8.71,2022-01-04,Rattrapage
5523,131,160,49,2022-2023,2,TP,5.95,2024-01-21,Rattrapage
5527,131,152,55,2022-2023,1,Examen Final,11.43,2025-09-07,Normale
11156,131,153,14,2024-2025,1,Examen Final,11.86,2024-09-02,Normale
5531,131,153,14,2024-2025,1,CC,17.84,2023-03-22,Normale
5533,131,158,20,2024-2025,2,CC,12.59,2024-12-27,Normale
5535,131,154,20,2024-2025,1,CC,4.62,2022-08-28,Rattrapage
5539,132,139,41,2024-2025,3,CC,7.81,2022-10-15,Rattrapage
17564,132,139,41,2024-2025,3,TP,13.62,2023-04-28,Normale
5545,132,140,41,2022-2023,3,CC,12.94,2023-07-26,Normale
5546,132,140,41,2022-2023,3,TP,6.97,2024-01-06,Rattrapage
5548,132,133,41,2024-2025,2,TP,9.11,2022-03-15,Rattrapage
14547,132,134,17,2023-2024,2,Examen Final,11.49,2024-10-27,Normale
5550,132,134,17,2023-2024,2,TP,17.99,2025-01-06,Normale
5552,132,129,41,2022-2023,1,Examen Final,16.2,2022-03-06,Normale
5705,132,129,41,2022-2023,1,TP,16.47,2025-10-22,Normale
1111,132,146,33,2024-2025,4,CC,11.91,2022-05-20,Normale
5558,132,136,48,2023-2024,2,CC,19.08,2022-02-17,Normale
5559,132,136,48,2023-2024,2,TP,19.24,2023-09-29,Normale
5560,132,136,48,2023-2024,2,Examen Final,12.83,2024-04-17,Normale
5563,132,126,13,2023-2024,1,CC,17.18,2024-10-16,Normale
5564,132,143,42,2022-2023,3,Examen Final,11.52,2022-08-24,Normale
14265,364,15,41,2022-2023,3,TP,16.36,2025-03-05,Normale
7995,364,15,41,2022-2023,3,Examen Final,19.87,2024-09-15,Normale
9492,364,1,42,2024-2025,1,Examen Final,14.23,2022-04-27,Normale
5569,364,1,42,2024-2025,1,CC,8.17,2024-11-17,Normale
5574,364,21,37,2024-2025,4,CC,12.19,2023-08-14,Normale
5576,364,11,48,2024-2025,2,CC,6.66,2025-05-02,Rattrapage
6900,364,11,48,2024-2025,2,Examen Final,5.29,2022-04-27,Rattrapage
5579,364,23,37,2022-2023,4,TP,18.21,2025-10-30,Normale
5581,364,12,13,2023-2024,2,Examen Final,5.98,2023-06-13,Rattrapage
19960,364,12,13,2023-2024,2,TP,13.47,2022-02-25,Normale
17673,364,5,28,2024-2025,1,TP,4.19,2023-05-23,Normale
3354,364,18,21,2024-2025,3,Examen Final,16.54,2024-01-09,Normale
18104,364,18,21,2024-2025,3,CC,17.94,2022-12-28,Normale
6667,364,14,52,2022-2023,3,CC,17.06,2025-02-21,Normale
16410,364,4,40,2023-2024,1,TP,16.4,2022-09-03,Normale
5591,364,22,19,2022-2023,4,CC,14.69,2025-06-26,Normale
8052,364,22,19,2022-2023,4,TP,13.13,2025-06-05,Normale
13703,364,20,19,2023-2024,4,CC,12.54,2023-11-06,Normale
5595,364,20,19,2023-2024,-4,Examen Final,12.57,2022-11-12,Normale
5596,133,183,52,2022-2023,2,Examen Final,13.49,2023-12-14,Normale
3126,133,180,33,2024-2025,1,Examen Final,9.77,2022-09-27,Rattrapage
17414,133,184,22,2023-2024,2,CC,14.45,2024-02-17,Normale
5611,133,184,22,2023-2024,2,TP,4.33,2022-10-14,Normale
5613,133,181,21,2023-2024,2,TP,15.7,2025-05-20,Normale
5615,133,185,27,2023-2024,-2,Examen Final,17.48,2023-06-02,Normale
5616,133,185,27,2023-2024,2,CC,11.5,2024-06-20,Normale
5618,133,178,33,2022-2023,1,CC,7.22,2022-04-27,Rattrapage
11096,133,178,33,2022-2023,1,Examen Final,14.39,2023-04-19,Normale
5621,133,176,33,2024-2025,1,Examen Final,14.78,2025-05-08,Normale
5623,133,176,33,2024-2025,1,CC,8.14,2022-11-13,Rattrapage
5624,134,207,29,2024-2025,2,TP,15.38,2023-12-27,Normale
13990,134,207,29,2024-2025,2,Examen Final,17.48,2024-11-04,Normale
5626,134,208,9,2022-2023,2,Examen Final,15.61,2024-10-06,Normale
15925,134,208,9,2022-2023,2,CC,15.35,2023-08-13,Normale
9790,134,204,16,2024-2025,1,CC,12.47,2022-09-29,Normale
5631,134,201,36,2022-2023,1,TP,17.8,2022-09-22,Normale
5632,134,209,36,2023-2024,2,TP,10.54,2023-07-09,Normale
5633,134,200,29,2024-2025,1,TP,15.65,2024-03-08,Normale
7622,134,200,29,2024-2025,-1,Examen Final,5.29,2023-04-19,Rattrapage
13319,134,199,2,2022-2023,1,CC,8.67,2025-04-18,Rattrapage
459,134,205,26,2023-2024,-2,TP,7.3,2023-10-14,Normale
11698,134,206,26,2022-2023,2,Examen Final,10.69,2025-03-30,Normale
5645,134,203,36,2022-2023,1,CC,4.19,2022-01-03,Rattrapage
5646,134,203,36,2022-2023,1,Examen Final,11.84,2022-12-05,Normale
5647,258,203,26,2023-2024,1,TP,7.98,2023-12-31,Normale
5650,258,209,36,2023-2024,2,Examen Final,17.46,2024-08-14,Normale
5503,258,205,24,2022-2023,-2,TP,19.06,2023-09-30,Normale
5654,258,205,24,2022-2023,2,Examen Final,18.3,2022-11-24,Normale
5655,258,207,29,2024-2025,2,Examen Final,13.7,2025-11-27,Normale
16501,258,201,36,2022-2023,1,Examen Final,13.35,2023-07-26,Normale
17955,258,199,8,2023-2024,1,Examen Final,19.94,2025-12-03,Normale
5662,259,144,49,2024-2025,4,TP,6.68,2025-02-02,Normale
5663,259,139,41,2024-2025,3,TP,17.82,2025-05-24,Normale
5664,259,127,21,2023-2024,1,TP,6.71,2022-09-07,Rattrapage
5669,259,133,41,2024-2025,2,CC,4.69,2022-12-27,Rattrapage
10306,259,133,41,2024-2025,2,Examen Final,10.6,2023-08-20,Normale
6760,259,132,3,2024-2025,2,TP,6.85,2023-11-26,Rattrapage
5674,259,136,21,2022-2023,2,Examen Final,12.86,2025-09-18,Normale
5675,259,138,52,2023-2024,3,Examen Final,6.34,2024-03-01,Rattrapage
5676,259,138,52,2023-2024,3,TP,8.17,2023-08-29,Normale
5680,259,147,42,2024-2025,4,TP,11.14,2025-06-24,Normale
25,259,147,42,2024-2025,4,CC,10.32,2024-06-13,Normale
5683,259,134,17,2023-2024,2,TP,8.64,2024-10-29,Normale
5686,136,95,46,2022-2023,4,CC,12.75,2023-07-08,Normale
5687,136,83,25,2023-2024,-2,CC,14.05,2023-02-16,Normale
5688,136,83,25,2023-2024,2,TP,10.22,2022-05-20,Normale
5690,136,96,55,2024-2025,4,Examen Final,19.77,2025-11-28,Normale
323,136,94,46,2024-2025,4,CC,14.69,2022-11-22,Normale
5696,136,86,18,2024-2025,2,CC,9.45,2024-02-19,Rattrapage
5697,136,86,18,2024-2025,-2,Examen Final,4.32,2023-11-15,Normale
6385,136,82,5,2023-2024,2,CC,15.16,2023-02-25,Normale
19068,136,82,5,2023-2024,2,TP,4.49,2022-05-30,Rattrapage
5700,136,82,5,2023-2024,2,Examen Final,17.14,2023-05-19,Normale
5702,136,97,48,2024-2025,4,CC,15.72,2025-01-02,Normale
5706,136,76,34,2023-2024,1,CC,16.59,2023-05-22,Normale
3361,136,77,51,2022-2023,-1,Examen Final,15.67,2025-09-14,Normale
5710,136,78,14,2023-2024,1,Examen Final,5.32,2023-05-04,Rattrapage
5711,136,78,14,2023-2024,1,TP,12.06,2025-12-09,Normale
5715,137,135,33,2022-2023,2,TP,5.74,2022-12-21,Rattrapage
1953,137,143,7,2023-2024,3,TP,14.13,2022-10-07,Normale
5718,137,143,7,2023-2024,3,Examen Final,17.91,2024-12-09,Normale
5719,137,141,22,2022-2023,3,Examen Final,4.23,2023-03-10,Normale
10729,137,141,22,2022-2023,3,CC,17.78,2022-10-11,Normale
5722,137,128,17,2023-2024,1,TP,18.78,2024-09-16,Normale
13833,137,128,17,2023-2024,1,Examen Final,5.14,2022-08-15,Rattrapage
9067,137,134,18,2024-2025,-2,Examen Final,4.11,2024-05-05,Rattrapage
5726,137,134,18,2024-2025,2,CC,13.23,2022-07-22,Normale
5727,137,131,17,2023-2024,1,TP,14.45,2024-10-03,Normale
5728,137,131,17,2023-2024,1,Examen Final,18.73,2025-09-28,Normale
5729,137,131,17,2023-2024,1,CC,19.14,2024-03-29,Normale
5732,137,147,18,2022-2023,4,CC,12.0,2023-12-02,Normale
5735,137,142,18,2024-2025,3,Examen Final,11.86,2022-05-08,Normale
2562,138,44,47,2024-2025,4,CC,4.08,2025-11-07,Normale
5738,138,45,34,2024-2025,4,CC,6.72,2025-10-23,Rattrapage
14837,138,42,25,2022-2023,3,TP,7.95,2022-07-02,Normale
10374,138,41,43,2024-2025,3,Examen Final,17.13,2023-05-05,Normale
11077,138,48,47,2024-2025,4,TP,15.14,2023-12-30,Normale
5747,138,48,47,2024-2025,4,CC,6.46,2022-08-02,Rattrapage
6213,138,33,30,2022-2023,-2,TP,9.59,2024-05-18,Rattrapage
5753,138,31,48,2024-2025,1,Examen Final,19.79,2025-01-16,Normale
5755,138,46,48,2024-2025,4,Examen Final,19.11,2024-03-03,Normale
5756,138,46,48,2024-2025,-4,CC,18.46,2025-11-19,Normale
5758,263,145,18,2024-2025,4,Examen Final,16.83,2025-11-01,Normale
5760,263,148,18,2022-2023,4,TP,19.46,2024-07-26,Normale
5764,263,129,41,2022-2023,1,Examen Final,16.59,2025-06-24,Normale
5768,263,130,35,2024-2025,1,CC,15.7,2024-02-23,Normale
5769,263,130,35,2024-2025,1,TP,6.74,2023-07-09,Rattrapage
19522,263,130,35,2024-2025,1,Examen Final,10.67,2023-01-10,Normale
8709,263,134,41,2022-2023,-2,TP,9.39,2023-03-21,Rattrapage
17687,139,166,53,2022-2023,-1,CC,6.26,2024-12-19,Rattrapage
5777,139,163,41,2023-2024,1,CC,15.8,2023-05-21,Normale
5778,139,163,41,2023-2024,1,Examen Final,19.07,2024-11-21,Normale
5103,139,170,33,2022-2023,2,Examen Final,6.24,2022-01-09,Rattrapage
5780,139,170,33,2022-2023,2,TP,8.84,2022-06-26,Normale
5782,139,168,35,2023-2024,1,Examen Final,14.84,2025-12-09,Normale
19509,139,168,35,2023-2024,1,CC,15.03,2022-09-22,Normale
10530,139,168,35,2023-2024,1,TP,16.1,2024-09-28,Normale
13086,139,167,19,2022-2023,1,TP,8.61,2023-01-04,Normale
5790,139,171,4,2023-2024,2,Examen Final,13.28,2025-03-27,Normale
5791,139,171,4,2023-2024,-2,CC,15.92,2022-09-19,Normale
5796,265,199,2,2022-2023,1,Examen Final,17.84,2022-03-30,Normale
9813,265,202,48,2023-2024,1,CC,11.39,2022-06-29,Normale
19194,265,202,48,2023-2024,1,TP,19.18,2023-01-06,Normale
5800,265,202,48,2023-2024,1,Examen Final,5.35,2024-05-13,Normale
1508,265,207,8,2023-2024,2,CC,10.28,2023-08-18,Normale
5806,265,208,49,2024-2025,2,CC,15.04,2025-12-20,Normale
5809,266,168,53,2022-2023,1,CC,7.49,2022-03-31,Normale
5810,266,168,53,2022-2023,1,Examen Final,13.41,2022-05-03,Normale
5812,266,165,28,2024-2025,1,Examen Final,14.33,2024-09-01,Normale
5818,266,173,46,2024-2025,2,TP,9.35,2023-02-16,Rattrapage
5821,266,167,19,2022-2023,1,TP,10.33,2025-10-13,Normale
5825,266,166,40,2024-2025,1,CC,7.5,2022-11-11,Rattrapage
11370,266,172,37,2022-2023,2,Examen Final,12.25,2025-07-29,Normale
5828,266,164,4,2022-2023,1,TP,5.48,2023-11-25,Rattrapage
5829,266,171,4,2023-2024,2,Examen Final,11.25,2022-09-25,Normale
5831,266,171,4,2023-2024,-2,CC,4.72,2023-08-07,Normale
5833,267,35,25,2022-2023,2,TP,14.21,2022-11-01,Normale
5835,267,27,5,2022-2023,1,Examen Final,18.36,2025-02-14,Normale
5837,267,27,5,2022-2023,1,CC,14.83,2025-09-29,Normale
5838,267,31,48,2024-2025,1,CC,18.74,2024-08-16,Normale
5839,267,31,48,2024-2025,1,Examen Final,12.62,2023-03-12,Normale
4312,267,41,43,2024-2025,3,Examen Final,4.38,2024-11-01,Rattrapage
5846,267,29,46,2024-2025,1,CC,12.47,2023-11-18,Normale
5852,141,16,13,2023-2024,-3,CC,9.66,2025-05-12,Rattrapage
9054,141,8,4,2024-2025,2,CC,19.69,2024-11-17,Normale
4815,141,10,32,2024-2025,2,Examen Final,8.35,2025-05-22,Rattrapage
18302,141,10,32,2024-2025,2,CC,18.23,2023-05-19,Normale
5858,141,14,3,2024-2025,3,Examen Final,12.32,2024-05-24,Normale
5859,141,14,3,2024-2025,3,TP,13.95,2023-10-26,Normale
9622,141,14,3,2024-2025,3,CC,10.67,2022-06-27,Normale
5861,141,18,7,2022-2023,-3,TP,17.6,2025-01-11,Normale
5862,141,18,7,2022-2023,3,CC,7.65,2022-07-27,Normale
5863,141,23,28,2024-2025,4,CC,13.27,2023-01-26,Normale
5864,141,23,28,2024-2025,4,Examen Final,8.29,2025-04-14,Rattrapage
8862,141,23,28,2024-2025,4,TP,5.09,2025-08-14,Normale
5866,141,22,19,2022-2023,4,Examen Final,14.11,2025-06-03,Normale
5867,141,22,19,2022-2023,4,CC,12.82,2022-01-05,Normale
5870,141,1,7,2022-2023,1,TP,6.89,2025-07-08,Normale
5873,141,12,21,2022-2023,2,Examen Final,14.19,2025-11-05,Normale
6093,141,21,19,2022-2023,4,Examen Final,7.0,2023-01-10,Normale
5878,141,21,19,2022-2023,4,CC,4.29,2022-07-20,Normale
5879,141,3,4,2024-2025,1,TP,10.38,2025-03-24,Normale
9804,141,3,4,2024-2025,1,Examen Final,15.16,2022-01-29,Normale
3236,437,165,53,2022-2023,1,TP,19.48,2022-03-09,Normale
5888,437,169,27,2022-2023,2,CC,6.86,2022-12-10,Normale
2145,437,169,27,2022-2023,2,Examen Final,9.99,2022-12-31,Normale
5891,437,171,4,2023-2024,2,Examen Final,7.73,2023-01-18,Rattrapage
742,437,164,35,2023-2024,1,TP,12.47,2023-03-17,Normale
5895,437,164,35,2023-2024,-1,Examen Final,6.68,2024-10-08,Rattrapage
5898,437,163,37,2022-2023,1,TP,15.79,2025-05-09,Normale
5899,437,163,37,2022-2023,1,Examen Final,4.11,2022-07-16,Rattrapage
5900,437,173,48,2023-2024,2,TP,10.92,2023-04-24,Normale
5901,437,173,48,2023-2024,2,Examen Final,16.48,2022-12-16,Normale
5904,270,197,6,2022-2023,2,CC,12.44,2024-10-24,Normale
5905,270,197,6,2022-2023,2,Examen Final,9.12,2024-04-25,Rattrapage
5906,270,192,46,2023-2024,1,CC,16.51,2024-10-29,Normale
7185,270,190,20,2023-2024,1,Examen Final,4.79,2025-02-19,Normale
5909,270,187,20,2022-2023,1,TP,14.56,2022-03-24,Normale
5912,270,196,12,2023-2024,2,Examen Final,7.88,2025-01-28,Normale
5914,270,194,15,2024-2025,2,CC,4.17,2022-07-04,Normale
5915,270,193,15,2022-2023,2,TP,4.44,2024-02-25,Normale
5919,270,188,14,2023-2024,1,CC,11.37,2025-09-30,Normale
5922,271,158,20,2024-2025,2,TP,19.04,2025-01-15,Normale
5925,271,157,5,2024-2025,2,Examen Final,11.44,2024-05-02,Normale
5927,271,159,18,2023-2024,2,Examen Final,15.8,2022-07-17,Normale
5929,271,152,55,2022-2023,1,TP,10.75,2023-11-10,Normale
5930,271,156,43,2022-2023,1,CC,18.15,2025-09-24,Normale
5931,271,156,43,2022-2023,1,Examen Final,7.29,2023-05-31,Normale
981,271,161,49,2023-2024,2,TP,13.88,2023-12-25,Normale
5936,271,154,20,2024-2025,-5,TP,9.77,2022-12-24,Rattrapage
5938,271,154,20,2024-2025,1,CC,13.91,2023-01-25,Normale
5939,271,155,20,2022-2023,1,TP,6.61,2022-03-03,Rattrapage
5940,271,155,20,2022-2023,1,Examen Final,18.31,2025-06-08,Normale
5941,271,155,20,2022-2023,1,CC,7.88,2025-09-25,Rattrapage
18696,271,153,20,2023-2024,1,Examen Final,8.58,2023-06-30,Rattrapage
5944,271,153,20,2023-2024,1,CC,13.37,2023-04-22,Normale
16751,48,62,23,2023-2024,2,TP,16.47,2022-08-27,Normale
5949,48,58,54,2024-2025,2,TP,7.39,2024-12-17,Normale
5951,48,64,18,2023-2024,3,TP,16.79,2022-08-29,Normale
19427,48,65,18,2023-2024,3,CC,9.43,2023-08-24,Rattrapage
8437,48,57,54,2024-2025,2,Examen Final,6.67,2025-07-17,Normale
2695,48,68,8,2022-2023,3,CC,19.66,2024-04-15,Normale
5960,48,73,46,2023-2024,4,Examen Final,18.43,2025-09-14,Normale
5962,48,67,16,2024-2025,3,TP,11.05,2023-02-23,Normale
13823,48,67,16,2024-2025,3,Examen Final,16.23,2025-03-13,Normale
15835,48,69,49,2022-2023,4,CC,4.98,2022-09-02,Rattrapage
887,273,87,48,2023-2024,2,CC,15.84,2022-06-06,Normale
5972,273,78,14,2023-2024,1,Examen Final,15.61,2024-02-13,Normale
5973,273,78,14,2023-2024,1,TP,16.94,2025-05-03,Normale
243,273,78,14,2023-2024,1,CC,14.03,2023-05-12,Normale
5975,273,92,15,2024-2025,3,Examen Final,18.1,2022-10-29,Normale
5978,273,83,30,2024-2025,2,CC,17.59,2023-06-30,Normale
10968,273,83,30,2024-2025,2,TP,11.0,2023-12-18,Normale
5982,273,91,14,2022-2023,3,Examen Final,7.0,2022-12-05,Rattrapage
5985,273,81,18,2024-2025,1,Examen Final,12.87,2022-06-13,Normale
5986,273,81,18,2024-2025,1,TP,8.23,2022-10-16,Rattrapage
1696,273,86,47,2023-2024,2,CC,18.9,2025-08-18,Normale
4046,273,76,10,2022-2023,1,TP,13.26,2022-12-14,Normale
5995,273,76,10,2022-2023,1,Examen Final,15.84,2025-12-22,Normale
5292,144,40,25,2023-2024,3,Examen Final,14.56,2025-05-15,Normale
5997,144,40,25,2023-2024,3,TP,14.26,2023-03-04,Normale
8968,144,41,48,2023-2024,-3,CC,13.12,2023-04-30,Normale
6002,144,41,48,2023-2024,3,TP,9.46,2022-02-22,Rattrapage
10385,144,39,30,2022-2023,3,TP,10.81,2022-01-31,Normale
19060,144,32,51,2024-2025,2,TP,8.92,2024-03-15,Rattrapage
9477,144,31,43,2023-2024,1,CC,19.72,2025-05-27,Normale
6011,144,31,43,2023-2024,1,TP,14.13,2023-10-21,Normale
6012,144,35,25,2023-2024,2,TP,6.52,2025-08-05,Rattrapage
6014,144,29,25,2022-2023,1,TP,18.74,2024-01-13,Normale
16637,144,26,43,2023-2024,1,TP,18.01,2023-06-01,Normale
6016,144,43,34,2024-2025,3,Examen Final,9.28,2022-12-16,Normale
13884,144,43,34,2024-2025,3,TP,19.09,2025-02-02,Normale
6018,144,43,34,2024-2025,-3,CC,17.27,2024-05-08,Normale
5192,145,16,13,2023-2024,3,CC,15.29,2023-11-15,Normale
